pais,pais_code,anio,indicador,indicador_code,valor,fecha_extraccion
Colombia,CO,2024,GDP (current US$),NY.GDP.MKTP.CD,418818154879.271,2026-03-05 11:29:17.313222
Colombia,CO,2023,GDP (current US$),NY.GDP.MKTP.CD,366291836137.916,2026-03-05 11:29:17.313230
Colombia,CO,2022,GDP (current US$),NY.GDP.MKTP.CD,345632492851.448,2026-03-05 11:29:17.313232
Colombia,CO,2021,GDP (current US$),NY.GDP.MKTP.CD,318524633225.395,2026-03-05 11:29:17.313233
Colombia,CO,2020,GDP (current US$),NY.GDP.MKTP.CD,270348342541.465,2026-03-05 11:29:17.313235
Colombia,CO,2019,GDP (current US$),NY.GDP.MKTP.CD,323031701192.84,2026-03-05 11:29:17.313238
Colombia,CO,2018,GDP (current US$),NY.GDP.MKTP.CD,334198218098.276,2026-03-05 11:29:17.313239
Colombia,CO,2017,GDP (current US$),NY.GDP.MKTP.CD,311866875156.879,2026-03-05 11:29:17.313240
Colombia,CO,2016,GDP (current US$),NY.GDP.MKTP.CD,282720100286.228,2026-03-05 11:29:17.313241
Colombia,CO,2015,GDP (current US$),NY.GDP.MKTP.CD,293492370193.166,2026-03-05 11:29:17.313243
Colombia,CO,2014,GDP (current US$),NY.GDP.MKTP.CD,381240864422.407,2026-03-05 11:29:17.313244
Colombia,CO,2013,GDP (current US$),NY.GDP.MKTP.CD,382093697077.685,2026-03-05 11:29:17.313245
Colombia,CO,2012,GDP (current US$),NY.GDP.MKTP.CD,370691143018.039,2026-03-05 11:29:17.313246
Colombia,CO,2011,GDP (current US$),NY.GDP.MKTP.CD,334966134804.887,2026-03-05 11:29:17.313247
Colombia,CO,2010,GDP (current US$),NY.GDP.MKTP.CD,286498534094.963,2026-03-05 11:29:17.313248
Colombia,CO,2009,GDP (current US$),NY.GDP.MKTP.CD,232468663109.595,2026-03-05 11:29:17.313249
Colombia,CO,2008,GDP (current US$),NY.GDP.MKTP.CD,242504150472.931,2026-03-05 11:29:17.313250
Colombia,CO,2007,GDP (current US$),NY.GDP.MKTP.CD,206229540926.312,2026-03-05 11:29:17.313251
Colombia,CO,2006,GDP (current US$),NY.GDP.MKTP.CD,161792958904.864,2026-03-05 11:29:17.313252
Colombia,CO,2005,GDP (current US$),NY.GDP.MKTP.CD,145600529605.803,2026-03-05 11:29:17.313254
Colombia,CO,2004,GDP (current US$),NY.GDP.MKTP.CD,117092416666.245,2026-03-05 11:29:17.313255
Colombia,CO,2003,GDP (current US$),NY.GDP.MKTP.CD,94644969157.0987,2026-03-05 11:29:17.313256
Colombia,CO,2002,GDP (current US$),NY.GDP.MKTP.CD,97945812802.8882,2026-03-05 11:29:17.313257
Colombia,CO,2001,GDP (current US$),NY.GDP.MKTP.CD,98200641203.3892,2026-03-05 11:29:17.313258
Colombia,CO,2000,GDP (current US$),NY.GDP.MKTP.CD,99875074951.0278,2026-03-05 11:29:17.313260
Colombia,CO,1999,GDP (current US$),NY.GDP.MKTP.CD,86186158684.7685,2026-03-05 11:29:17.313261
Colombia,CO,1998,GDP (current US$),NY.GDP.MKTP.CD,98443739941.1664,2026-03-05 11:29:17.313263
Colombia,CO,1997,GDP (current US$),NY.GDP.MKTP.CD,106659508271.255,2026-03-05 11:29:17.313264
Colombia,CO,1996,GDP (current US$),NY.GDP.MKTP.CD,97160109277.8087,2026-03-05 11:29:17.313265
Colombia,CO,1995,GDP (current US$),NY.GDP.MKTP.CD,92507279383.0387,2026-03-05 11:29:17.313266
Colombia,CO,1994,GDP (current US$),NY.GDP.MKTP.CD,81703500846.0364,2026-03-05 11:29:17.313267
Colombia,CO,1993,GDP (current US$),NY.GDP.MKTP.CD,66446804802.5747,2026-03-05 11:29:17.313268
Colombia,CO,1992,GDP (current US$),NY.GDP.MKTP.CD,58418985443.3172,2026-03-05 11:29:17.313269
Colombia,CO,1991,GDP (current US$),NY.GDP.MKTP.CD,49175565911.0655,2026-03-05 11:29:17.313270
Colombia,CO,1990,GDP (current US$),NY.GDP.MKTP.CD,47844090709.9908,2026-03-05 11:29:17.313271
Colombia,CO,1989,GDP (current US$),NY.GDP.MKTP.CD,39540080200.3938,2026-03-05 11:29:17.313272
Colombia,CO,1988,GDP (current US$),NY.GDP.MKTP.CD,39212550050.4223,2026-03-05 11:29:17.313273
Colombia,CO,1987,GDP (current US$),NY.GDP.MKTP.CD,36373307085.0887,2026-03-05 11:29:17.313274
Colombia,CO,1986,GDP (current US$),NY.GDP.MKTP.CD,34942489683.9712,2026-03-05 11:29:17.313275
Colombia,CO,1985,GDP (current US$),NY.GDP.MKTP.CD,34894411351.983,2026-03-05 11:29:17.313276
Colombia,CO,1984,GDP (current US$),NY.GDP.MKTP.CD,38253120737.9671,2026-03-05 11:29:17.313277
Colombia,CO,1983,GDP (current US$),NY.GDP.MKTP.CD,38729822781.5997,2026-03-05 11:29:17.313278
Colombia,CO,1982,GDP (current US$),NY.GDP.MKTP.CD,38968039721.748,2026-03-05 11:29:17.313280
Colombia,CO,1981,GDP (current US$),NY.GDP.MKTP.CD,36388366869.0309,2026-03-05 11:29:17.313281
Colombia,CO,1980,GDP (current US$),NY.GDP.MKTP.CD,33400735644.0481,2026-03-05 11:29:17.313543
