pais,año,GDP (current US$),"Inflation, consumer prices (annual %)"
Argentina,1960,15865474315.4056,
Argentina,1961,20132220374.9093,
Argentina,1962,18337691145.3688,
Argentina,1963,18272123664.4715,
Argentina,1964,25605249381.7597,
Argentina,1965,28344705966.6389,
Argentina,1966,28630474727.9023,
Argentina,1967,24256667553.2569,
Argentina,1968,26436857247.4982,
Argentina,1969,31256284543.6155,
Argentina,1970,31584210365.5447,
Argentina,1971,33293199095.4881,
Argentina,1972,34733000536.2862,
Argentina,1973,52544000116.9037,
Argentina,1974,72436777342.4554,
Argentina,1975,52438647921.9226,
Argentina,1976,51169499892.1722,
Argentina,1977,56781000101.0848,
Argentina,1978,89049453088.3282,
Argentina,1979,69252328951.6441,
Argentina,1980,76961923741.0701,
Argentina,1981,78676842366.5529,
Argentina,1982,84307486836.724,
Argentina,1983,103979106777.911,
Argentina,1984,116915052107.031,
Argentina,1985,88150891728.1064,
Argentina,1986,105872372613.857,
Argentina,1987,108810885301.253,
Argentina,1988,126890235049.092,
Argentina,1989,76629728760.123,
Argentina,1990,141352654305.163,
Argentina,1991,189719984268.485,
Argentina,1992,228778917308.17,
Argentina,1993,236741715015.015,
Argentina,1994,257440000000.0,
Argentina,1995,258031750000.0,
Argentina,1996,272149750000.0,
Argentina,1997,292859000000.0,
Argentina,1998,298948250000.0,
Argentina,1999,283523000000.0,
Argentina,2000,284203750000.0,
Argentina,2001,268696750000.0,
Argentina,2002,97724004251.8602,
Argentina,2003,127586973492.177,
Argentina,2004,164657930452.787,
Argentina,2005,198737095012.282,
Argentina,2006,232557260817.308,
Argentina,2007,287530508430.568,
Argentina,2008,361558037110.419,
Argentina,2009,332976484577.619,
Argentina,2010,423627422092.49,
Argentina,2011,530158122010.442,
Argentina,2012,545982375701.128,
Argentina,2013,552025140252.246,
Argentina,2014,526319673731.638,
Argentina,2015,594749285413.212,
Argentina,2016,557532320662.955,
Argentina,2017,643628393281.364,
Argentina,2018,524819892360.176,34.2772237131003
Argentina,2019,447754683615.225,53.5483043492339
Argentina,2020,385740508436.965,42.0150947376509
Argentina,2021,486564085480.036,48.4093786255199
Argentina,2022,633993756301.08,72.430757531824
Argentina,2023,649461687959.174,133.488935594175
Argentina,2024,638365455340.04,219.883929014578
Brazil,1960,17030465539.3906,
Brazil,1961,17275940449.3837,
Brazil,1962,19231747851.5332,
Brazil,1963,23287712878.2002,
Brazil,1964,20963733694.9749,
Brazil,1965,22465522884.0988,
Brazil,1966,28283323733.1114,
Brazil,1967,31086389194.961,
Brazil,1968,33930457425.2613,
Brazil,1969,37171640818.5863,
Brazil,1970,42327664793.6934,
Brazil,1971,48869830901.7878,
Brazil,1972,58434858374.8696,
Brazil,1973,83592275862.9982,
Brazil,1974,109794519727.538,
Brazil,1975,129203555238.827,
Brazil,1976,153168949208.207,
Brazil,1977,176344101401.941,
Brazil,1978,200278646123.581,
Brazil,1979,221338204480.222,
Brazil,1980,237393489892.637,
Brazil,1981,258015174748.648,101.725072957927
Brazil,1982,271314113768.417,100.54335919485
Brazil,1983,189656506321.431,135.027682230473
Brazil,1984,188339974086.58,192.121733132051
Brazil,1985,210879844638.877,225.989665211895
Brazil,1986,256480852471.129,147.142826237604
Brazil,1987,283056836893.838,228.336162575513
Brazil,1988,307881930752.268,629.114509120897
Brazil,1989,412990820287.42,1430.7237251472
Brazil,1990,390725626002.866,2947.732772483
Brazil,1991,342609231342.783,432.786661926461
Brazil,1992,328187960871.951,951.962053052818
Brazil,1993,368295778245.09,1927.38079016026
Brazil,1994,525369851353.742,2075.88839757325
Brazil,1995,769333330411.575,66.0070335542481
Brazil,1996,850426433004.077,15.7576656002606
Brazil,1997,883206452795.124,6.92671251629154
Brazil,1998,863711007325.493,3.19507629280052
Brazil,1999,599642075004.471,4.85844749902667
Brazil,2000,655448188259.351,7.04414105947266
Brazil,2001,559983704094.17,6.84035902487523
Brazil,2002,509795270685.19,8.45016437708331
Brazil,2003,558233724164.711,14.7149197228147
Brazil,2004,669289321944.512,6.59718509985963
Brazil,2005,891633826625.407,6.86953720898964
Brazil,2006,1107626711163.23,4.18356812896909
Brazil,2007,1397114247188.89,3.64127299102652
Brazil,2008,1695855391757.96,5.67859390284168
Brazil,2009,1666996294252.12,4.88803479876799
Brazil,2010,2208838108484.35,5.03872690108075
Brazil,2011,2616156606579.21,6.6364496221309
Brazil,2012,2465228293706.86,5.40349914036997
Brazil,2013,2472819362043.74,6.20431066640101
Brazil,2014,2456043766032.38,6.32904015516139
Brazil,2015,1802211999456.42,9.02990102416136
Brazil,2016,1795693265999.04,8.73914352329393
Brazil,2017,2063514688805.78,3.44637335032669
Brazil,2018,1916933708352.71,3.66485028376729
Brazil,2019,1873288158838.63,3.73297621216894
Brazil,2020,1476107292151.95,3.21176803803376
Brazil,2021,1670647464062.96,8.30165975585673
Brazil,2022,1951923832083.87,9.28010608956873
Brazil,2023,2191131869706.02,4.59356282283204
Brazil,2024,2185821648943.86,4.36746407652337
Chile,1960,4211103676.74027,
Chile,1961,4948564550.91046,
Chile,1962,5765971144.47142,
Chile,1963,5702520146.03167,
Chile,1964,6065708668.32735,
Chile,1965,6183988944.34606,
Chile,1966,7256882086.19585,
Chile,1967,7145068067.64138,
Chile,1968,7286820526.02462,
Chile,1969,8456519044.38223,
Chile,1970,9261006540.15907,
Chile,1971,10999807567.1235,20.0522312040536
Chile,1972,12057501634.979,77.7957404755204
Chile,1973,17237336172.7878,352.810986573029
Chile,1974,16584311220.1384,504.738541215978
Chile,1975,7812161793.11971,374.735274232635
Chile,1976,10523479088.8075,211.924302225904
Chile,1977,14272711436.7475,91.9541325565104
Chile,1978,16373093553.7155,40.0872246313854
Chile,1979,22249574627.6911,33.3892190102252
Chile,1980,29586676576.0951,35.1383405330485
Chile,1981,35180322211.2903,19.6868327084319
Chile,1982,19710229067.2864,9.94102693041832
Chile,1983,20629678694.0684,27.2571946726204
Chile,1984,19974595028.1582,19.8602056602626
Chile,1985,17933557359.8036,30.7034989096151
Chile,1986,19197818084.6757,19.4768379232582
Chile,1987,22605488850.8981,19.8808457201905
Chile,1988,26174858613.8456,14.684351250082
Chile,1989,30101767991.1135,17.0279367308962
Chile,1990,33428580448.2715,26.0364811362364
Chile,1991,38232330917.2011,21.7844124277757
Chile,1992,46538895685.8088,15.4258064688928
Chile,1993,49934943320.8828,12.7277669490964
Chile,1994,57438273591.0521,11.4431196444973
Chile,1995,73820425701.6603,8.23263034116114
Chile,1996,78584098983.6374,7.35911781788767
Chile,1997,85741415285.165,6.13386464357927
Chile,1998,81990010704.0602,5.11024954517559
Chile,1999,75578685735.5219,3.33687917526023
Chile,2000,78339750721.364,3.84327295706565
Chile,2001,71574739561.4329,3.56910053001467
Chile,2002,70264045939.2773,2.48939816650705
Chile,2003,76492579644.0605,2.8101787574361
Chile,2004,99075985773.6682,1.05473871403517
Chile,2005,122294145163.192,3.05257621387849
Chile,2006,153843518170.864,3.39201733699405
Chile,2007,172491076033.863,4.40779938398044
Chile,2008,179894594475.405,8.71626873039607
Chile,2009,171777900623.892,0.353045178360937
Chile,2010,217051209238.534,1.41071107954321
Chile,2011,251382573893.87,3.34121694259302
Chile,2012,267024782486.855,3.00744840213047
Chile,2013,277395018842.417,1.7895555398459
Chile,2014,259560978224.359,4.71867527854672
Chile,2015,242450355830.884,4.34877353217044
Chile,2016,249344863928.438,3.78619355893118
Chile,2017,276154259981.097,2.18271846868519
Chile,2018,295857562991.709,2.43488981353057
Chile,2019,278285058719.466,2.55754475703327
Chile,2020,254042159309.311,3.04549084804326
Chile,2021,315325547162.072,4.52456838259144
Chile,2022,301226575540.242,11.643866711056
Chile,2023,335518054097.637,7.58168251407962
Chile,2024,330267137371.592,4.29763891572524
Colombia,1960,4031152976.63904,5.81407628204986
Colombia,1961,4540447761.19403,8.28319045648716
Colombia,1962,4955543963.36869,4.6970939506247
Colombia,1963,4836166666.66667,26.3554355250467
Colombia,1964,5973366666.66667,17.0724352164554
Colombia,1965,5760761904.7619,7.5906836693158
Colombia,1966,5428518518.51852,16.7281682748598
Colombia,1967,5825170438.48704,8.32819136425948
Colombia,1968,5960212869.12968,7.4475387831777
Colombia,1969,6450175213.74923,6.98166307955375
Colombia,1970,7198360460.19887,6.90862275848241
Colombia,1971,7820380970.53674,11.9402616979216
Colombia,1972,8671358732.68486,12.4444589907729
Colombia,1973,10315760000.3394,22.5296486781843
Colombia,1974,12370029583.6419,23.8709573656697
Colombia,1975,13098633901.8673,23.4375025650554
Colombia,1976,15341403660.4698,19.8312249167931
Colombia,1977,19470960619.1297,33.802818357982
Colombia,1978,23263511958.0509,17.7631590853462
Colombia,1979,27940411250.2732,24.1340757440455
Colombia,1980,33400735644.0481,26.5526531495356
Colombia,1981,36388366869.0309,27.4537624347993
Colombia,1982,38968039721.748,24.7209882528585
Colombia,1983,38729822781.5997,19.5973170624765
Colombia,1984,38253120737.9671,16.1616171361426
Colombia,1985,34894411351.983,24.090174368125
Colombia,1986,34942489683.9712,18.8424631612406
Colombia,1987,36373307085.0887,23.302028364018
Colombia,1988,39212550050.4223,28.1083969771704
Colombia,1989,39540080200.3938,25.8675480831988
Colombia,1990,47844090709.9908,29.1520245976215
Colombia,1991,49175565911.0655,30.3878204854436
Colombia,1992,58418985443.3172,27.0106266231361
Colombia,1993,66446804802.5747,22.4424828533275
Colombia,1994,81703500846.0364,22.8462417553045
Colombia,1995,92507279383.0387,20.8917930194849
Colombia,1996,97160109277.8087,20.7975755127402
Colombia,1997,106659508271.255,18.4700217119089
