pais,año,indicador,valor,fecha_extraccion
Colombia,2024,GDP (current US$),418818154879.271,2026-02-26T15:59:13.781917
Colombia,2023,GDP (current US$),366291836137.916,2026-02-26T15:59:13.781937
Colombia,2022,GDP (current US$),345632492851.448,2026-02-26T15:59:13.781943
Colombia,2021,GDP (current US$),318524633225.395,2026-02-26T15:59:13.781946
Colombia,2020,GDP (current US$),270348342541.465,2026-02-26T15:59:13.781950
Colombia,2019,GDP (current US$),323031701192.84,2026-02-26T15:59:13.781953
Colombia,2018,GDP (current US$),334198218098.276,2026-02-26T15:59:13.781956
Colombia,2017,GDP (current US$),311866875156.879,2026-02-26T15:59:13.781959
Colombia,2016,GDP (current US$),282720100286.228,2026-02-26T15:59:13.781962
Colombia,2015,GDP (current US$),293492370193.166,2026-02-26T15:59:13.781967
Colombia,2014,GDP (current US$),381240864422.407,2026-02-26T15:59:13.781970
Colombia,2013,GDP (current US$),382093697077.685,2026-02-26T15:59:13.781973
Colombia,2012,GDP (current US$),370691143018.039,2026-02-26T15:59:13.781976
Colombia,2011,GDP (current US$),334966134804.887,2026-02-26T15:59:13.781979
Colombia,2010,GDP (current US$),286498534094.963,2026-02-26T15:59:13.781981
Colombia,2009,GDP (current US$),232468663109.595,2026-02-26T15:59:13.781984
Colombia,2008,GDP (current US$),242504150472.931,2026-02-26T15:59:13.781987
Colombia,2007,GDP (current US$),206229540926.312,2026-02-26T15:59:13.781990
Colombia,2006,GDP (current US$),161792958904.864,2026-02-26T15:59:13.781993
Colombia,2005,GDP (current US$),145600529605.803,2026-02-26T15:59:13.781997
Colombia,2004,GDP (current US$),117092416666.245,2026-02-26T15:59:13.782000
Colombia,2003,GDP (current US$),94644969157.0987,2026-02-26T15:59:13.782003
Colombia,2002,GDP (current US$),97945812802.8882,2026-02-26T15:59:13.782006
Colombia,2001,GDP (current US$),98200641203.3892,2026-02-26T15:59:13.782009
Colombia,2000,GDP (current US$),99875074951.0278,2026-02-26T15:59:13.782011
Colombia,1999,GDP (current US$),86186158684.7685,2026-02-26T15:59:13.782014
